seed,problem,strategy_name,source_count,cleared_count,cleared_ratio,all_cleared,virtual_time_s,average_localize_clear_time_s,total_distance_m,measure_count,clear_count,failed_clear_count,channel_switch_count,strategy_completed,wall_time_s
0,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,6290.880826097141,393.1800516310713,25079.404130485716,196,31,15,170,True,3.90963060001377
1,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6652.28026219648,604.7527511087709,24636.401310982405,283,11,0,255,True,3.0207968999893637
2,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,6107.8830098516155,381.74268811572597,23474.415049258092,219,32,16,190,True,4.529515499991248
3,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,8162.971411080615,742.0883100982378,30489.85705540307,316,60,49,283,True,3.3999689999909606
4,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6386.240036209466,580.5672760190423,23071.20018104733,291,11,0,262,True,2.877176599999075
5,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7577.064088039687,541.2188634314062,30365.320440198444,239,26,12,203,True,4.2699352000054205
6,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,8177.57243980482,511.0982774878012,31362.8621990242,257,122,106,222,True,4.418964299999061
7,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,7996.629632999042,666.3858027499201,30918.14816499522,292,24,12,257,True,4.297663000004832
8,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6211.020722049131,564.638247459012,23025.103610245646,263,11,0,236,True,2.890837200000533
9,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,8411.520943414454,647.0400725703427,32552.604717072278,311,13,0,281,True,3.38110109999252
10,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7360.305037483986,525.736074105999,27546.525187419957,254,110,96,223,True,4.122771599999396
11,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,8356.99326033998,642.8456354107676,32584.966301699857,266,85,72,229,True,4.008372600001167
12,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,9520.664488943163,732.3588068417818,35873.3224447159,312,162,149,274,True,3.961249999993015
13,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,7021.770641541457,585.1475534617881,26353.853207707274,286,13,1,258,True,3.378058999995119
14,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,7793.685492154262,779.3685492154261,27283.42746077139,337,108,98,308,True,2.6867450999998255
15,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6890.73182650452,626.4301660458655,24453.659132522607,329,11,0,300,True,3.580934099998558
16,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,6793.597426458514,566.1331188715428,25682.98713229258,271,12,0,242,True,3.493929799995385
17,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7814.485707329318,558.1775505235227,29847.42853664662,280,56,42,249,True,4.385818700000527
18,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,7104.506785995316,645.8642532723014,25247.53392997659,332,24,13,301,True,3.1092458000057377
19,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,7350.694091176295,490.04627274508636,28573.470455881565,220,106,91,188,True,4.175458300000173
20,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,7167.689754015133,477.84598360100887,28373.448770075724,221,56,41,190,True,3.697533899990958
21,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,8420.28411565964,765.4803741508764,31576.420578298243,317,71,60,285,True,2.823573599991505
22,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6521.163982034953,592.8330892759049,24060.819910174767,281,11,0,249,True,3.7030533000070136
23,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,7607.047602511243,475.4404751569527,30045.238012556274,216,100,84,186,True,4.110898700004327
24,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,8987.79456626454,599.1863044176359,34933.97283132245,283,103,88,247,True,4.057127899999614
25,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,7425.738101099753,571.2106231615195,28438.690505498795,265,52,39,231,True,3.6566232000041055
26,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,7985.542697255134,532.3695131503423,32632.713486275716,215,58,43,180,True,4.3216343999956734
27,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,7766.637776733391,517.775851782226,31683.188883666986,206,67,52,169,True,4.091793799991137
28,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,7663.36168643858,766.3361686438581,28206.808432192927,323,32,22,291,True,2.752515400003176
29,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7882.25315795872,563.0180827113371,29166.265789793666,292,100,86,261,True,3.664455899997847
