seed,problem,strategy_name,source_count,cleared_count,cleared_ratio,all_cleared,virtual_time_s,average_localize_clear_time_s,total_distance_m,measure_count,clear_count,failed_clear_count,channel_switch_count,strategy_completed,wall_time_s
30,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,6552.895822979105,468.06398735565034,25744.479114895523,226,15,1,201,True,3.4269669000059366
31,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,6489.843894926557,648.9843894926557,22869.219474632784,314,12,2,290,True,1.9276143000024604
32,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,8324.943450500388,832.4943450500389,30389.717252501963,352,47,37,326,True,2.3879125000094064
33,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,8137.553531164324,581.2538236545946,30352.76765582171,293,102,88,268,True,2.3977834999968763
34,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7186.111362817483,513.2936687726773,26600.556814087427,289,44,30,261,True,2.7383883000002243
35,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7276.72287367231,519.7659195480221,28253.614368361592,242,57,43,217,True,3.193872999996529
36,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,8285.029831804342,690.4191526503619,30475.149159021756,301,129,117,274,True,2.8860721999953967
37,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,8462.767526934174,564.1845017956116,33028.837634671,228,160,145,207,True,2.8532592999981716
38,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,8224.713871543885,548.3142581029257,32818.56935771954,202,149,134,174,True,3.377384899999015
39,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,7129.113858585287,648.1012598713897,25705.56929292645,321,22,11,295,True,2.6113656000088667
40,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,6295.462336800752,484.26633360005786,23567.311684003776,256,15,2,231,True,3.4288740000047255
41,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,7119.163962184126,547.6279970910866,27300.81981092065,261,31,18,235,True,2.6759757999971043
42,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,6863.305745219167,457.5537163479445,27481.528726095836,218,18,3,193,True,3.2522576000046683
43,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,10094.62153477935,1009.462153477935,35928.107673896564,346,280,270,319,True,1.4430775999935577
44,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,6614.592014590065,508.81477035308194,24922.960072950347,263,16,3,241,True,2.5599443999963114
45,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,6417.982143170917,534.831845264243,23884.910715854592,268,12,0,241,True,3.0500103999947896
46,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,6327.584278348405,632.7584278348405,22382.921391742024,303,12,2,280,True,2.5405343000020366
47,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,9125.830679496741,760.4858899580618,33559.15339748373,332,142,130,304,True,2.731574300007196
48,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7598.718115335926,542.7655796668519,29063.590576679675,266,63,49,239,True,2.717788699999801
49,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,6895.6373665598385,689.5637366559838,24873.186832799194,316,10,0,291,True,2.394960700010415
50,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,7358.33707591604,566.0259289166185,28561.68537958026,239,71,58,212,True,2.633570999998483
51,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,8115.531516882504,737.775592443864,28357.657584412533,338,140,129,312,True,2.0336127000045963
52,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,8771.209711800808,730.9341426500673,33511.048559004164,268,154,142,243,True,2.5285368999902857
53,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7486.909375804267,534.7792411288763,29089.546879021378,254,48,34,227,True,3.5962908000074094
