seed,problem,strategy_name,source_count,cleared_count,cleared_ratio,all_cleared,virtual_time_s,average_localize_clear_time_s,total_distance_m,measure_count,clear_count,failed_clear_count,channel_switch_count,strategy_completed,wall_time_s
0,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,7098.504425257962,443.6565265786226,28407.522126289878,189,90,74,170,True,3.655857499994454
1,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6650.119519729815,604.5563199754378,24635.597598649078,282,12,1,255,True,3.014179999998305
2,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,6078.046738239864,379.8779211399915,23465.233691199333,214,31,15,190,True,4.3157632000074955
3,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,7778.9917109348025,707.1810646304366,29219.95855467401,311,25,14,283,True,3.2428440999938175
4,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6386.240036209466,580.5672760190423,23071.20018104733,291,11,0,262,True,3.065276299996185
5,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7474.508325969356,533.8934518549539,30002.541629846794,233,26,12,203,True,4.271490500002983
6,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,7450.882576541218,465.68016103382615,29169.41288270612,251,36,20,222,True,4.3042646999965655
7,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,8014.2161346307,667.8513445525583,31201.080673153505,283,26,14,257,True,3.330176899995422
8,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6208.478499373627,564.4071363066934,23057.392496868128,260,13,2,236,True,2.521183699995163
9,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,8346.405535678578,642.0311950521983,32337.02767839289,306,14,1,281,True,2.8809558999928413
10,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7431.144060631841,530.7960043308458,28340.720303159218,252,84,70,223,True,4.408342799986713
11,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,8081.095828928984,621.6227560714603,31805.47914464494,260,55,42,229,True,4.140639799996279
12,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,9002.096530218894,692.4689638629918,34570.482651094535,303,91,78,274,True,3.8543513999902643
13,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,6976.752902638646,581.3960752198872,26238.764513193226,281,14,2,258,True,3.3080028999975184
14,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,7093.451087591151,709.3451087591151,25062.255437955762,335,26,16,308,True,3.1883441000099992
15,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6886.233853871143,626.0212594428311,24471.16926935572,325,15,4,300,True,3.0794014999992214
16,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,6772.7561581464,564.3963465122,25638.780790732006,268,13,1,242,True,3.3094408999895677
17,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7577.685385254071,541.2632418038622,29188.426926270375,274,31,17,249,True,3.9814099999930477
18,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,7831.900836892335,711.9909851720305,28119.504184461748,329,80,69,301,True,3.1134313000075053
19,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,6572.4138151024445,438.16092100682965,26117.06907551223,216,17,2,188,True,4.214980900011142
20,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,7000.190137168568,466.6793424779045,27915.950685842872,219,34,19,190,True,4.171946099988418
21,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,7957.384894402947,723.3986267639043,30056.924472014754,311,28,17,285,True,3.0894793000043137
22,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6729.817726053128,611.8016114593753,25119.088630265658,278,15,4,249,True,3.663164700003108
23,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,7625.350383937332,476.5843989960832,30271.751919686718,210,101,85,186,True,4.694533100002445
24,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,9091.202205680811,606.0801470453874,35616.011028403795,274,107,92,247,True,4.30431989999488
25,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,8073.243130649672,621.018702357667,31151.21565324842,256,102,89,231,True,3.2088597000110894
26,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,7741.959843658259,516.1306562438839,31959.799218291304,210,30,15,180,True,4.533635300002061
27,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,7595.763763100847,506.3842508733898,31263.818815504244,200,48,33,169,True,4.5609868000028655
28,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,7656.137180877335,765.6137180877334,28295.685904386704,318,32,22,291,True,2.7549932999972953
29,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7004.382708344913,500.31305059606524,26176.913541724556,287,15,1,261,True,3.719281999990926
