seed,problem,strategy_name,source_count,cleared_count,cleared_ratio,all_cleared,virtual_time_s,average_localize_clear_time_s,total_distance_m,measure_count,clear_count,failed_clear_count,channel_switch_count,strategy_completed,wall_time_s
0,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,6361.485026858159,397.5928141786349,25547.42513429081,189,35,19,170,True,3.584837800008245
1,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6650.119519729815,604.5563199754378,24635.597598649078,282,12,1,255,True,3.008841899994877
2,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,6078.046738239864,379.8779211399915,23465.233691199333,214,31,15,190,True,4.289897099995869
3,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,7829.440719856239,711.767338168749,29382.203599281194,311,31,20,283,True,3.2202579000004334
4,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6386.240036209466,580.5672760190423,23071.20018104733,291,11,0,262,True,3.0684882999921683
5,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7474.508325969356,533.8934518549539,30002.541629846794,233,26,12,203,True,4.23864070000127
6,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,8056.601496260716,503.53759351629475,31088.007481303674,251,110,94,222,True,4.281704799999716
7,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,8014.095236074283,667.8412696728569,31200.47618037142,283,26,14,257,True,3.320890100003453
8,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6202.157225010166,563.8324750009242,23025.78612505082,260,13,2,236,True,2.495492899994133
9,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,8466.88419722083,651.2987844016023,32729.420986104156,306,28,15,281,True,2.8932304000045406
10,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7359.038681041803,525.6456200744145,27590.193405209047,252,110,96,223,True,4.4021267000061926
11,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,8079.204953314114,621.4773041010857,31811.024766570594,260,54,41,229,True,4.0921601000009105
12,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,8981.320779883781,690.8708292218294,33986.603899418995,303,123,110,274,True,3.8326644000044325
13,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,7042.808891772508,586.9007409810423,26479.044458862536,281,20,8,258,True,3.3026041999983136
14,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,7762.960577483477,776.2960577483477,27179.802887417463,335,108,98,308,True,3.1780858999991324
15,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6886.233853871143,626.0212594428311,24471.16926935572,325,15,4,300,True,3.065984999993816
16,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,6772.7561581464,564.3963465122,25638.780790732006,268,13,1,242,True,3.319904999996652
17,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7572.696194359473,540.9068710256767,29163.480971797384,274,31,17,249,True,3.9221359999937704
18,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,7104.010348677158,645.8191226070144,25320.051743385808,329,24,13,301,True,3.1507579000026453
19,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,6572.4138151024445,438.16092100682965,26117.06907551223,216,17,2,188,True,4.2020920000068145
20,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,7046.431521621749,469.76210144144994,28042.157608108784,219,41,26,190,True,4.149520999999368
21,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,8015.868091014629,728.7152810013299,30229.340455073176,311,36,25,285,True,3.075852900001337
22,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6729.817726053128,611.8016114593753,25119.088630265658,278,15,4,249,True,3.613096500004758
23,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,7502.073820605608,468.8796137878505,29355.36910302812,210,121,105,186,True,4.737600399996154
24,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,8965.35221030275,597.6901473535166,34731.76105151343,274,124,109,247,True,4.212320999999065
25,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,7250.026426075955,557.6943404673812,27980.13213037978,256,39,26,231,True,3.2644750000035856
26,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,7768.206211334516,517.8804140889678,32046.031056672597,210,33,18,180,True,4.515303299995139
27,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,7557.074706686733,503.80498044578223,31145.373533433667,200,43,28,169,True,4.659652100002859
28,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,7656.137180877335,765.6137180877334,28295.685904386704,318,32,22,291,True,2.740445200004615
29,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7018.772687394075,501.3409062424339,26203.863436970365,287,18,4,261,True,3.8364182999939658
