seed,problem,strategy_name,source_count,cleared_count,cleared_ratio,all_cleared,virtual_time_s,average_localize_clear_time_s,total_distance_m,measure_count,clear_count,failed_clear_count,channel_switch_count,strategy_completed,wall_time_s
0,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,6070.291586603632,379.393224162727,24141.457933018173,187,35,19,170,True,3.178178400004981
1,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6650.119519729815,604.5563199754378,24635.597598649078,282,12,1,255,True,2.701213899999857
2,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,5987.276978868267,374.2048111792667,23036.384894341347,213,31,15,190,True,3.743782400008058
3,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,7829.440719856239,711.767338168749,29382.203599281194,311,31,20,283,True,2.8554064000054495
4,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6386.240036209466,580.5672760190423,23071.20018104733,291,11,0,262,True,2.6896334000048228
5,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7370.713676851565,526.4795483465404,29533.56838425784,231,26,12,203,True,3.679472600008012
6,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,7994.6399927627735,499.66499954767335,30618.199963813975,249,124,108,222,True,3.796803399993223
7,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,7842.192173415581,653.5160144512985,30365.96086707791,282,26,14,257,True,2.8470285999937914
8,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6202.157225010166,563.8324750009242,23025.78612505082,260,13,2,236,True,2.2119207000068855
9,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,8466.88419722083,651.2987844016023,32729.420986104156,306,28,15,281,True,2.5260799000097904
10,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7261.254064498804,518.6610046070574,27126.27032249404,251,110,96,223,True,3.776898500000243
11,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,8144.704841627052,626.5157570482347,31723.524208135306,258,85,72,229,True,3.754351299998234
12,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,8911.778406209187,685.5214158622451,33663.89203104602,302,123,110,274,True,3.367513000004692
13,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,7042.808891772508,586.9007409810423,26479.044458862536,281,20,8,258,True,3.02388969999447
14,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,7616.51481778265,761.6514817782651,26497.574088913334,333,108,98,308,True,2.811211300009745
15,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6886.233853871143,626.0212594428311,24471.16926935572,325,15,4,300,True,2.727887000000919
16,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,6772.7561581464,564.3963465122,25638.780790732006,268,13,1,242,True,2.9326989999972284
17,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7572.696194359473,540.9068710256767,29163.480971797384,274,31,17,249,True,3.488671200000681
18,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,7008.817927170487,637.1652661064079,24869.089635852448,328,24,13,301,True,2.7145608000137145
19,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,7270.889473793991,484.7259649195994,28269.447368970043,215,108,93,188,True,3.7807027000089874
20,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,7046.431521621749,469.76210144144994,28042.157608108784,219,41,26,190,True,3.629746899998281
21,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,7858.000784725389,714.3637077023081,29465.003923626977,310,36,25,285,True,2.680697300005704
22,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6729.817726053128,611.8016114593753,25119.088630265658,278,15,4,249,True,3.2369578999932855
23,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,7199.252885838297,449.95330536489354,28186.264429191557,207,103,87,186,True,4.1353640999877825
24,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,8597.45898118897,573.1639320792646,33222.294905944684,271,107,92,247,True,3.841288600000553
25,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,7250.026426075955,557.6943404673812,27980.13213037978,256,39,26,231,True,2.8273858999891672
26,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,7768.206211334516,517.8804140889678,32046.031056672597,210,33,18,180,True,4.01584360000561
27,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,7480.610546784374,498.7073697856249,30788.052733921864,199,43,28,169,True,4.082253000000492
28,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,7468.177151488118,746.8177151488119,27405.88575744062,316,32,22,291,True,2.5593509000027552
29,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7018.772687394075,501.3409062424339,26203.863436970365,287,18,4,261,True,3.6004810000013094
