seed,problem,strategy_name,source_count,cleared_count,cleared_ratio,all_cleared,virtual_time_s,average_localize_clear_time_s,total_distance_m,measure_count,clear_count,failed_clear_count,channel_switch_count,strategy_completed,wall_time_s,analytic_clear_terminal_enabled,tail_terminal_linkage_enabled,analytic_plan_generated,analytic_plan_certified,analytic_plan_selected,analytic_plan_fallbacks,analytic_estimated_saving_s,tail_terminal_linkage_evaluations,tail_terminal_analytic_choices,tail_terminal_estimated_cost_reduction_s
0,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,6079.011763608639,379.9382352255399,24170.058818043166,187,36,20,170,True,3.0440947000170127,True,True,5,5,5,0,662.4405955085318,3,3,962.4868401009979
1,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6650.202790256387,604.5638900233079,24636.013951281937,282,12,1,255,True,2.4659115000104066,True,True,1,1,1,0,12.29800446221222,0,0,0.0
2,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,5981.8727651179315,373.8670478198707,23009.36382558964,213,31,15,190,True,3.5783814000023995,True,True,3,3,3,0,575.4732417893125,1,1,557.1998682284101
3,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,7769.104724166961,706.282247651542,29185.52362083481,311,24,13,283,True,2.7109866999962833,True,True,3,3,3,0,621.513838870237,1,1,315.3503178292858
4,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6386.240036209466,580.5672760190423,23071.20018104733,291,11,0,262,True,2.600687600002857,True,True,0,0,0,0,0.0,0,0,0.0
5,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7561.3542016004485,540.0967286857464,30486.771008002255,231,26,12,203,True,3.481561699998565,True,True,5,5,5,0,1174.8788588493376,2,2,1171.6818880275314
6,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,7366.76625881804,460.4228911761275,28633.831294090207,249,47,31,222,True,3.560618199990131,True,True,6,6,6,0,1172.0524220815848,2,2,1122.1529170141453
7,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,7844.7434749607755,653.728622913398,30378.71737480387,282,26,14,257,True,2.695954199996777,True,True,7,7,7,0,617.9657187535504,1,1,570.3290771445276
8,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6194.663560332784,563.1512327575258,23003.31780166391,260,12,1,236,True,2.016514399991138,True,True,2,2,2,0,29.5914821755968,0,0,0.0
9,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,8342.835267042507,641.7565590032698,32304.17633521253,306,15,2,281,True,2.3378580999851692,True,True,4,4,4,0,102.05296883032125,0,0,0.0
10,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,6594.08688736889,471.006206240635,25020.434436844454,251,28,14,223,True,3.5477123000018764,True,True,2,2,1,0,584.4283959138488,1,1,584.4283959138488
11,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,8312.59963426119,639.4307410970147,32202.99817130587,258,109,96,229,True,3.3793241000093985,True,True,6,6,6,0,1836.8218823398402,3,3,1767.8780394625019
12,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,8183.669402810011,629.5130309853855,31388.347014050058,302,32,19,274,True,3.0702231000177562,True,True,7,7,7,0,663.2918498827213,2,2,815.6447347696837
13,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,6969.295605563253,580.7746337969378,26216.478027816254,281,13,1,258,True,2.64263149999897,True,True,4,4,4,0,89.83556141711435,0,0,0.0
14,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,6947.315167284671,694.7315167284671,24381.57583642335,333,26,16,308,True,2.558472899982007,True,True,2,2,2,0,1071.890067041741,2,2,1071.890067041741
15,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6871.500898354937,624.6818998504488,24412.50449177469,325,14,3,300,True,2.437030800007051,True,True,3,3,2,0,29.310562294417124,0,0,0.0
16,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,6773.806084897732,564.4838404081444,25644.03042448867,268,13,1,242,True,2.6668668999918737,True,True,1,1,1,0,7.917705918454125,0,0,0.0
17,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7561.659451431421,540.1185322451015,29123.297257157108,274,30,16,249,True,3.1705846000113524,True,True,5,5,5,0,638.7862196680466,1,1,320.0774254228612
18,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,7013.048821838746,637.5498928944315,24890.244109193736,328,24,13,301,True,2.4950156999984756,True,True,3,3,3,0,606.8966779956646,1,1,569.5509426229199
19,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,6649.80060256208,443.3200401708053,26304.00301281038,215,32,17,188,True,3.399539999983972,True,True,3,3,3,0,611.3764801168867,1,1,557.1018901951567
20,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,7003.905245875769,466.9270163917179,27919.526229378847,219,35,20,190,True,3.3003967000113335,True,True,2,2,2,0,349.4620452420924,1,1,609.000084229223
21,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,7786.771161419965,707.888287401815,29213.85580709984,310,29,18,285,True,2.4999853000044823,True,True,4,4,4,0,686.7928803763864,2,2,899.3007980680977
22,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6724.196029397556,611.2905481270506,25105.980146987797,278,14,3,249,True,2.9236711999983527,True,True,3,3,3,0,25.786763277760084,1,1,221.58791797359748
23,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,7068.47785063383,441.77986566461436,27727.389253169134,207,90,74,186,True,3.8123824000067543,True,True,6,6,6,0,1295.2836568393827,3,3,1209.7160850069235
24,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,8478.576277846363,565.2384185230909,32792.88138923185,271,96,81,247,True,3.4501943000068422,True,True,6,6,6,0,1456.5851642941811,3,3,1425.756842383064
25,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,7239.820358058089,556.9092583121608,27944.101790290457,256,38,25,231,True,2.6766264000034425,True,True,6,6,6,0,666.7029282441445,1,1,315.5202701062225
26,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,7741.948556836493,516.1299037890996,31959.7427841825,210,30,15,180,True,3.7728069000004325,True,True,4,4,4,0,632.3014287726743,1,1,321.558148641751
27,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,7467.405341529526,497.82702276863506,30722.0267076476,199,43,28,169,True,3.857481499988353,True,True,5,5,5,0,1265.5112998043924,2,2,883.3026475636337
28,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,7461.83114014792,746.1831140147921,27389.15570073961,316,31,21,291,True,2.5264482999918982,True,True,4,4,4,0,1137.9220781047648,2,2,1105.3059428835786
29,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,6994.214555835348,499.58675398823914,26126.072779176735,287,15,1,261,True,3.4783455999859143,True,True,3,3,3,0,30.373095367111574,2,2,858.065827595038
30,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,6552.261684392911,468.01869174235077,25741.30842196455,226,15,1,201,True,3.2599364000197966,True,True,3,3,3,0,15.778868239502312,0,0,0.0
31,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,6489.854147281143,648.9854147281143,22884.27073640571,314,11,1,290,True,1.7907421000127215,True,True,2,2,2,0,3.780055616965903,0,0,0.0
32,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,8331.066045821972,833.1066045821972,30405.33022910987,352,48,38,326,True,2.856076399999438,True,True,6,6,6,0,924.5140216088295,2,2,863.5489223365346
33,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7172.79908415708,512.3427917255057,26793.995420785413,294,16,2,268,True,2.631179999996675,True,True,5,5,5,0,53.20525041731557,1,1,611.5699703810714
34,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7160.604042010988,511.4717172864992,26823.02021005493,290,19,5,261,True,3.004337899998063,True,True,2,2,2,0,38.95852465397958,1,1,260.8910653897898
35,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7123.642544760567,508.8316103400405,27913.212723802833,243,27,13,217,True,3.27796269999817,True,True,1,1,1,0,601.7795933321021,1,1,322.6808374370828
36,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,7559.229715206691,629.9358096005576,28461.14857603344,303,18,6,274,True,3.118338300002506,True,True,5,5,4,0,313.51839603836964,2,2,873.3601469344076
37,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,7387.592116436697,492.5061410957798,29372.960582183514,230,42,27,207,True,2.9390033000090625,True,True,3,3,3,0,664.5993894357789,2,2,1215.1221903570743
38,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,7341.993257932436,489.46621719549574,29779.966289662123,204,54,39,174,True,3.6045735999941826,True,True,4,4,4,0,940.1217436976474,2,2,903.1602892487056
39,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,7137.532615256898,648.8666013869907,25747.663076284494,321,22,11,295,True,2.666317600000184,True,True,4,4,4,0,599.3348264791712,1,1,560.9933095107615
40,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,6289.049116517365,483.77300896287426,23550.245582586835,256,14,1,231,True,3.325012899993453,True,True,2,2,2,0,57.07452702420835,0,0,0.0
41,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,7087.560973824456,545.1969979864966,27217.80486912227,261,26,13,235,True,3.1747747999907006,True,True,4,4,4,0,881.5180687448416,2,2,808.667597022527
42,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,6862.40686051283,457.4937907008553,27477.03430256413,218,18,3,193,True,3.061977899982594,True,True,4,4,4,0,44.597584744689115,0,0,0.0
43,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,9014.478439949167,901.4478439949168,32792.39219974585,349,124,114,319,True,2.4609735000121873,True,True,7,7,7,0,2090.639282837844,5,5,1621.8021605481986
44,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,6596.47836558437,507.42141273725923,24862.391827921863,263,14,1,241,True,2.386539300001459,True,True,2,2,2,0,18.53169188249339,0,0,0.0
