seed,problem,strategy_name,source_count,cleared_count,cleared_ratio,all_cleared,virtual_time_s,average_localize_clear_time_s,total_distance_m,measure_count,clear_count,failed_clear_count,channel_switch_count,strategy_completed,wall_time_s
0,Q3,GuaranteedRollingQ3Strategy,16,16,1.0,True,3742.759776735597,233.9224860459748,15533.798883677973,96,16,0,76,True,4.348367800000233
1,Q3,GuaranteedRollingQ3Strategy,11,11,1.0,True,3500.237447145704,318.20340428597314,13981.187235728525,110,11,0,99,True,2.4602343999999903
2,Q3,GuaranteedRollingQ3Strategy,16,16,1.0,True,3413.283980406597,213.33024877541231,14166.419902032985,86,16,0,70,True,3.736379599999964
3,Q3,GuaranteedRollingQ3Strategy,11,11,1.0,True,3263.3557606792083,296.66870551629165,12616.778803396033,116,11,0,105,True,2.6986652000000504
4,Q3,GuaranteedRollingQ3Strategy,11,11,1.0,True,3178.886983857855,288.9897258052595,12499.43491928927,106,11,0,94,True,2.749777600000016
5,Q3,GuaranteedRollingQ3Strategy,14,14,1.0,True,3573.7999980391114,255.2714284313651,14543.999990195562,101,14,0,90,True,3.1110413000001245
6,Q3,GuaranteedRollingQ3Strategy,16,16,1.0,True,3385.2752633011423,211.5797039563214,14276.376316505706,78,16,0,60,True,4.0311492999999246
7,Q3,GuaranteedRollingQ3Strategy,12,12,1.0,True,3576.84484770525,298.0704039754375,14294.224238526245,111,12,0,103,True,2.316548199999943
8,Q3,GuaranteedRollingQ3Strategy,11,11,1.0,True,3005.4446748206474,273.2222431655134,11532.22337410324,109,11,0,99,True,2.6324282000000494
9,Q3,GuaranteedRollingQ3Strategy,13,13,1.0,True,3671.902705317753,282.45405425521176,14549.513526588766,118,13,0,107,True,2.655544600000212
10,Q3,GuaranteedRollingQ3Strategy,14,14,1.0,True,2879.3081195972895,205.66486568552068,11516.540597986446,86,14,0,76,True,3.116297399999894
11,Q3,GuaranteedRollingQ3Strategy,13,13,1.0,True,3323.774466514559,255.6749589626584,13133.872332572795,107,13,0,97,True,2.674976400000105
12,Q3,GuaranteedRollingQ3Strategy,13,13,1.0,True,3325.975726074017,255.84428662107823,13594.87863037009,92,13,0,82,True,3.0125127999999677
