seed,problem,strategy_name,source_count,cleared_count,cleared_ratio,all_cleared,virtual_time_s,average_localize_clear_time_s,total_distance_m,measure_count,clear_count,failed_clear_count,channel_switch_count,strategy_completed,wall_time_s
0,Q3,GuaranteedRollingQ3Strategy,16,16,1.0,True,6651.831966003378,415.7394978752111,30779.159830016888,72,16,0,56,True,3.2941570000111824
1,Q3,GuaranteedRollingQ3Strategy,11,11,1.0,True,6747.914631986317,613.4467847260288,29744.573159931577,127,11,0,109,True,2.2944069000077434
2,Q3,GuaranteedRollingQ3Strategy,16,16,1.0,True,7248.813221489597,453.0508263430998,33084.066107447994,95,16,0,77,True,2.903009000001475
3,Q3,GuaranteedRollingQ3Strategy,11,11,1.0,True,6002.523132809155,545.6839211644686,25867.615664045774,131,11,0,119,True,1.4481230000092182
4,Q3,GuaranteedRollingQ3Strategy,11,11,1.0,True,5717.107737484101,519.7370670440091,24455.538687420485,131,11,0,116,True,1.8414962000097148
5,Q3,GuaranteedRollingQ3Strategy,14,14,1.0,True,6637.646159686357,474.11758283473984,29303.23079843177,120,14,0,107,True,1.8066104000026826
6,Q3,GuaranteedRollingQ3Strategy,16,16,1.0,True,7041.58911120408,440.099319450255,31732.945556020397,105,16,0,90,True,2.4881948999973247
7,Q3,GuaranteedRollingQ3Strategy,12,12,1.0,True,6597.550525204871,549.7958771004058,29077.75262602436,123,12,0,107,True,2.2801926000101957
8,Q3,GuaranteedRollingQ3Strategy,11,11,1.0,True,5946.310611939912,540.5736919945374,25996.55305969956,118,11,0,102,True,2.0756566999916686
9,Q3,GuaranteedRollingQ3Strategy,13,13,1.0,True,6724.632908567379,517.279454505183,29533.164542836883,128,13,0,113,True,2.260203099998762
