seed,problem,strategy_name,source_count,cleared_count,cleared_ratio,all_cleared,virtual_time_s,average_localize_clear_time_s,total_distance_m,measure_count,clear_count,failed_clear_count,channel_switch_count,strategy_completed,wall_time_s
0,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,6276.1595674536675,392.2599729658542,24625.79783726839,186,73,57,170,True,2.8755957999965176
1,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6650.119519729815,604.5563199754378,24635.597598649078,282,12,1,255,True,3.018782999992254
2,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,5987.276978868267,374.2048111792667,23036.384894341347,213,31,15,190,True,4.018512700000429
3,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,7767.460045492759,706.1327314084326,29187.300227463787,310,25,14,283,True,2.934842299990123
4,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6386.240036209466,580.5672760190423,23071.20018104733,291,11,0,262,True,3.05906739999773
5,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7562.857735600435,540.2041239714597,30494.28867800219,231,26,12,203,True,3.598545999993803
6,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,8105.75677528876,506.6097984555475,31458.783876443886,249,105,89,222,True,3.6310748000105377
7,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,7842.192173415581,653.5160144512985,30365.96086707791,282,26,14,257,True,3.0697357000026386
8,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6208.478499373627,564.4071363066934,23057.392496868128,260,13,2,236,True,2.5000361999991583
9,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,8346.405535678578,642.0311950521983,32337.02767839289,306,14,1,281,True,2.9065069999924162
10,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7333.35944408884,523.8113888634886,27876.79722044421,251,84,70,223,True,4.020056000008481
11,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,7677.353546037897,590.5656573875306,29861.767730189506,257,55,42,229,True,3.2559008999960497
12,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,9038.61115632506,695.2777812557738,34548.055781625364,301,108,95,274,True,3.2810047999955714
13,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,6976.752902638646,581.3960752198872,26238.764513193226,281,14,2,258,True,3.3528950000036275
14,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,7648.6227130959805,764.8622713095981,27093.113565479955,333,79,69,308,True,2.402334999991581
15,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6886.233853871143,626.0212594428311,24471.16926935572,325,15,4,300,True,3.0205891999939922
16,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,6772.7561581464,564.3963465122,25638.780790732006,268,13,1,242,True,3.375449800005299
17,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7567.006821952669,540.5004872823336,29160.034109763365,273,31,17,249,True,3.745192300004419
18,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,7013.407930685288,637.582539153208,24877.03965342646,328,25,14,301,True,2.8087773000006564
19,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,7369.138526032525,491.2759017355017,29075.692630162695,215,87,72,188,True,3.984031400003005
20,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,6952.023862261924,463.46825748412823,27700.11931130965,218,34,19,190,True,3.877511200000299
21,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,8001.673531745346,727.4248665223041,30043.367658726755,309,47,36,285,True,2.4751212000119267
22,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6801.1998829158265,618.2908984468933,25185.99941457916,277,36,25,249,True,3.4138013000047067
23,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,7508.718346947792,469.294896684237,29733.59173473903,207,103,87,186,True,3.868116199999349
24,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,8909.985818313706,593.9990545542471,34784.92909156852,271,107,92,247,True,3.35281290000421
25,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,8060.856440105269,620.0658800080976,31114.282200526402,255,102,89,231,True,3.0126508999965154
26,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,7720.683540060925,514.7122360040617,31878.41770030463,209,30,15,180,True,4.294976100005442
27,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,7452.173837465241,496.8115891643494,30625.869187326203,198,46,31,169,True,4.136943700010306
28,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,7474.265023342813,747.4265023342813,27436.325116714095,316,32,22,291,True,2.2368548000085866
29,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7136.725951124932,509.76613936606657,26603.629755624665,285,34,20,261,True,3.5202023000019835
