seed,problem,strategy_name,source_count,cleared_count,cleared_ratio,all_cleared,virtual_time_s,average_localize_clear_time_s,total_distance_m,measure_count,clear_count,failed_clear_count,channel_switch_count,strategy_completed,wall_time_s
30,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,6552.895822979105,468.06398735565034,25744.479114895523,226,15,1,201,True,3.5908634000079473
31,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,6489.843894926557,648.9843894926557,22869.219474632784,314,12,2,290,True,1.939978099995642
32,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,8324.943450500388,832.4943450500389,30389.717252501963,352,47,37,326,True,3.0956303999992087
33,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7189.1216120235795,513.5086865731129,26860.608060117902,294,17,3,268,True,2.776440800007549
34,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7149.942887387004,510.71020624192886,26784.71443693501,290,18,4,261,True,3.2354194999934407
35,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7127.087814999522,509.0777010713945,27915.439074997626,243,28,14,217,True,3.684517900008359
36,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,7602.6315383589035,633.5526281965753,28618.157691794513,303,22,10,274,True,3.5016605999990134
37,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,8021.375866987368,534.7583911324912,31386.87933493694,230,119,104,207,True,3.2705523000040557
38,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,7957.521351843589,530.5014234562393,31732.606759218048,204,129,114,174,True,4.132927099999506
39,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,7129.113858585287,648.1012598713897,25705.56929292645,321,22,11,295,True,2.9950066000019433
40,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,6295.462336800752,484.26633360005786,23567.311684003776,256,15,2,231,True,3.6409011999930954
41,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,7119.163962184126,547.6279970910866,27300.81981092065,261,31,18,235,True,3.446027800004231
42,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,6863.305745219167,457.5537163479445,27481.528726095836,218,18,3,193,True,3.351581700000679
43,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,9448.071120804701,944.8071120804701,34195.355604023236,349,175,165,319,True,2.75686379999388
44,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,6614.592014590065,508.81477035308194,24922.960072950347,263,16,3,241,True,2.6719837999989977
45,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,6417.982143170917,534.831845264243,23884.910715854592,268,12,0,241,True,3.1925421000050846
46,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,6327.584278348405,632.7584278348405,22382.921391742024,303,12,2,280,True,2.7372918000037316
47,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,8882.901608545424,740.2418007121187,33379.50804272708,335,68,56,304,True,3.8129827000084333
48,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7660.481670803566,547.1772622002547,29457.408354017876,268,54,40,239,True,3.95464599999832
49,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,6895.6373665598385,689.5637366559838,24873.186832799194,316,10,0,291,True,2.5801174999942305
50,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,7045.172110201451,541.9363161693424,27690.860551007274,240,23,10,212,True,3.1706530999945244
51,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,7221.855663886768,656.5323330806152,25644.27831943384,341,18,7,312,True,3.0963179000100354
52,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,8591.178961659547,715.9315801382955,33080.894808297846,269,121,109,243,True,3.8680415999988327
53,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7250.880776285475,517.9200554489624,28334.403881427384,255,18,4,227,True,4.109221799997613
54,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,7039.937566314219,639.9943242103835,26314.687831571096,290,13,2,266,True,3.281437800003914
55,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,6544.696849627618,654.4696849627618,22328.484248138087,338,18,8,315,True,2.4248313999996753
56,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,6589.247368730003,411.82796054562516,26461.236843650033,191,47,31,169,True,3.7740863999933936
57,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,6732.304794981422,673.2304794981421,24286.523974907108,308,10,0,285,True,2.3438475000002654
58,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,8976.029255486521,641.1449468204657,34550.14627743274,265,158,144,239,True,3.827919800009113
59,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6970.824153560977,633.7112866873615,25869.120767804885,292,16,5,267,True,2.757009200009634
60,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,6965.100775645653,580.4250646371378,25975.503878228254,288,14,2,264,True,2.7988718999986304
61,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,7020.327271217353,540.0251747090272,25391.636356086776,316,14,1,294,True,2.782214999999269
62,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7576.241601870356,541.1601144193112,28831.208009351783,292,18,4,268,True,3.591084600004251
63,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,7854.1348180887535,604.164216776058,29515.674090443794,311,30,17,280,True,3.6885954000026686
64,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,7496.963203339482,576.6894771799601,28164.81601669744,278,67,54,247,True,4.237768200007849
65,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,7349.206693838683,565.3235918337449,28296.033469193415,269,26,13,241,True,3.4837038999976357
66,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,7094.649116701466,709.4649116701465,25843.245583507338,309,26,16,283,True,2.5300433000084013
67,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,7720.6542839560225,772.0654283956022,29038.271419780107,310,19,9,286,True,2.2546695999917574
68,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,8677.430967208287,578.4953978138858,34167.15483604152,250,115,100,219,True,4.050840200012317
69,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,7944.427827365479,529.6285218243653,32147.139136827394,239,25,10,215,True,3.924997100009932
70,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,7325.937564818395,732.5937564818395,27089.687824091976,313,12,2,287,True,2.4843646999943303
71,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,7982.5147879273045,665.2095656606087,29892.573939636553,312,45,33,285,True,3.1782530000054976
72,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,6795.608530429877,679.5608530429877,24388.042652149383,314,13,3,289,True,2.0344468999974197
73,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,7983.024944708604,665.2520787257171,30065.124723543107,279,98,86,257,True,2.915965199994389
74,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,4526.366907172304,282.897931698269,17546.834535861533,158,19,3,138,True,4.092492700001458
75,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,6787.889828127027,522.1453713943866,25234.44914063514,283,15,2,255,True,3.42646760000207
76,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,6822.2292632692515,568.5191052724376,25656.14631634626,268,29,17,240,True,2.9849281999922823
77,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,4251.3950496198295,265.71219060123934,17666.97524809915,109,16,0,93,True,3.419124699998065
78,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,6749.097903604792,421.8186189752995,25500.489518024024,231,85,69,207,True,3.9984525999898324
79,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6775.934998990334,615.9940908173031,25084.674994951674,288,11,0,264,True,2.344833399998606
80,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,8099.641429702336,674.9701191418613,31198.207148511705,292,38,26,262,True,2.6550781999976607
81,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,6846.203440158452,489.0145314398895,25756.017200792256,273,19,5,245,True,2.8192347000003792
82,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,7855.059777695665,714.0963434268787,28660.298888478315,339,31,20,313,True,2.9830169000051683
83,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,7561.411460808217,581.6470354467859,28502.057304041122,279,62,49,254,True,3.4088212000060594
84,Q4,GuaranteedDirectionalQ4Strategy,15,15,1.0,True,6369.589071770124,424.6392714513416,24732.945358850626,229,15,0,203,True,2.9482803999999305
85,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,7419.9314700892755,674.5392245535705,27944.6573504464,290,30,19,269,True,2.5295884999941336
86,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,3930.290168279722,245.64313551748262,15791.450841398611,118,17,1,99,True,4.1476868000027025
87,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,7499.430848780735,681.7664407982486,27632.154243903693,317,24,13,294,True,2.489953299998888
88,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,8337.886026775448,641.375848213496,32244.430133877293,281,69,56,251,True,3.3941059000062523
89,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,6903.109973852972,690.3109973852972,24610.549869264876,325,12,2,300,True,2.092867800005479
90,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,7749.512277937228,704.5011161761116,28162.561389686187,321,65,54,295,True,3.034210099998745
91,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,7333.7463748482005,733.37463748482,26813.731874241,322,15,5,296,True,2.232721100008348
92,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,7054.839309522602,542.679946886354,26799.196547613006,275,15,2,249,True,3.438862799986964
93,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,7119.212876774065,444.95080479837907,28901.064383870355,200,45,29,172,True,3.8769423000048846
94,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,6736.623529619156,481.1873949727969,26488.11764809578,233,14,0,204,True,3.8684573999926215
95,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,5643.722565542712,352.7326603464195,22553.612827713583,175,24,8,154,True,4.536643100000219
96,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,6106.457103208022,508.87142526733516,22377.285516040116,266,12,0,241,True,2.595471099994029
97,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,7238.729791626675,658.0663446933341,27428.648958133395,281,24,13,254,True,2.5720177000039257
98,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,6371.60966244235,530.9674718701958,23703.04831221175,266,12,0,241,True,3.0664625000063097
99,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,8717.492693919874,670.5763610707595,33237.463469599454,290,110,97,264,True,3.7772201000043424
