seed,problem,strategy_name,source_count,cleared_count,cleared_ratio,all_cleared,virtual_time_s,average_localize_clear_time_s,total_distance_m,measure_count,clear_count,failed_clear_count,channel_switch_count,strategy_completed,wall_time_s,analytic_plan_generated,analytic_plan_certified,analytic_plan_selected,analytic_plan_fallbacks,analytic_estimated_saving_s
50,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,7039.067696875511,541.4667459135009,27660.338484377568,240,23,10,212,True,2.7366986999986693,3,3,3,0,943.9867449609512
51,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,7218.871419482353,656.2610381347594,25644.357097411776,341,17,6,312,True,2.6588776000135113,1,1,1,0,24.399413303056065
52,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,8008.925133564964,667.4104277970804,31249.625667824897,269,49,37,243,True,3.234508099994855,6,6,6,0,1747.047742279871
53,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7253.359080147212,518.0970771533723,28331.795400736064,255,19,5,227,True,3.403185500006657,6,6,6,0,84.49247923043387
54,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,7040.455279158068,640.0413890143699,26317.276395790337,290,13,2,266,True,2.661741499992786,2,2,2,0,2.7570450976446654
55,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,6499.408783449252,649.9408783449252,22177.043917246247,338,13,3,315,True,1.9774096999899484,3,3,3,0,78.90219293378821
56,Q4,GuaranteedDirectionalQ4Strategy,16,16,1.0,True,6404.698534590307,400.29365841189417,25853.492672951525,191,26,10,169,True,3.0722571999940556,4,4,4,0,650.758715103535
57,Q4,GuaranteedDirectionalQ4Strategy,10,10,1.0,True,6735.313174750673,673.5313174750673,24286.565873753363,308,11,1,285,True,1.9398268000222743,1,1,1,0,3.974761796910439
58,Q4,GuaranteedDirectionalQ4Strategy,14,14,1.0,True,7941.203959016382,567.2288542154558,30476.01979508189,264,86,72,240,True,3.0691903999831993,3,3,2,0,331.65345961033063
59,Q4,GuaranteedDirectionalQ4Strategy,11,11,1.0,True,6963.661777663605,633.0601616057822,25848.30888831802,292,15,4,267,True,2.248782899987418,3,3,3,0,376.60653258023825
60,Q4,GuaranteedDirectionalQ4Strategy,12,12,1.0,True,6967.510182401298,580.6258485334415,25972.55091200647,288,15,3,264,True,2.30293000000529,3,3,3,0,81.85926423251055
61,Q4,GuaranteedDirectionalQ4Strategy,13,13,1.0,True,7018.048163762013,539.8498587509241,25395.240818810074,316,13,0,294,True,2.2859556000039447,1,1,1,0,3.0117657855005575
